Subtopic,QuestionNumber,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
সমতলক্ষেত্রের ক্ষেত্রফল,60,একটি বৃত্তের ব্যাসার্ধ ৫ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি? (π = ৩.১৪),76.5,78.5,80.5,82.5,  B,ক্ষেত্রফল = πr² = ৩.১৪ × ৫² = ৩.১৪ × ২৫ = ৭৮.৫০ বর্গ সেমি। Option B সঠিক।,4
সমতলক্ষেত্রের ক্ষেত্রফল,61,একটি সমকোণী ত্রিভুজের সমকোণ সংলগ্ন বাহুগুলো ৮ সেমি এবং ১৫ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,60,70,80,90,  A,ক্ষেত্রফল = ১/২ × ৮ × ১৫ = ৬০ বর্গ সেমি। Option A সঠিক।,4
সমতলক্ষেত্রের ক্ষেত্রফল,62,একটি আয়তক্ষেত্রের দৈর্ঘ্য ১০ সেমি এবং কর্ণ ২৬ সেমি। প্রস্থ কত সেমি? (পিথাগোরাসের উপপাদ্য ব্যবহার করুন),22,23,24,25,  C,প্রস্থ = √(২৬² − ১০²) = √(৬৭৬ − ১০০) = √৫৭৬ = ২৪ সেমি। Option C সঠিক।,4
সমতলক্ষেত্রের ক্ষেত্রফল,63,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ১৬ সেমি এবং ৮ সেমি, এবং উচ্চতা ৬ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",72,76,80,84,  A,ক্ষেত্রফল = ১/২ × (১৬ + ৮) × ৬ = ১/২ × ২৪ × ৬ = ৭২ বর্গ সেমি। Option A সঠিক।,5
সমতলক্ষেত্রের ক্ষেত্রফল,64,একটি সমকোণী ত্রিভুজের অতিভুজ ১৭ সেমি এবং একটি বাহু ৮ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,50,60,70,80,  B,অন্য বাহু = √(১৭² − ৮²) = √(২৮৯ − ৬৪) = √২২৫ = ১৫ সেমি। ক্ষেত্রফল = ১/২ × ৮ × ১৫ = ৬০ বর্গ সেমি। Option B সঠিক।,5
সমতলক্ষেত্রের ক্ষেত্রফল,65,একটি নিয়মিত ষড়ভুজের বাহুর দৈর্ঘ্য ৬ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,90,93.53,96,99.12,  B,ক্ষেত্রফল = (৩√৩/২) × ৬² = ২.৫৯৮ × ৩৬ ≈ ৯৩.৫৩ বর্গ সেমি। Option B সঠিক।,5
সমতলক্ষেত্রের ক্ষেত্রফল,66,একটি বৃত্তের অংশের কোণ ১২০° এবং ব্যাসার্ধ ৭ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি? (π = ২২/৭),50.29,51.33,52.67,53.14,  B,ক্ষেত্রফল = (১২০/৩৬০) × (২২/৭) × ৭² = ১/৩ × ২২/৭ × ৪৯ = ১৫৪/৩ ≈ ৫১.৩৩ বর্গ সেমি। Option B সঠিক।,6
সমতলক্ষেত্রের ক্ষেত্রফল,67,একটি সমকোণী ত্রিভুজের সমকোণ সংলগ্ন বাহুগুলো ৭ সেমি এবং ২৪ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,84,88,92,96,  A,ক্ষেত্রফল = ১/২ × ৭ × ২৪ = ৮৪ বর্গ সেমি। Option A সঠিক।,6
সমতলক্ষেত্রের ক্ষেত্রফল,68,একটি আয়তক্ষেত্রের প্রস্থ ৬ সেমি এবং কর্ণ ১০ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,40,48,56,64,  B,দৈর্ঘ্য = √(১০² − ৬²) = √(১০০ − ৩৬) = ৮ সেমি। ক্ষেত্রফল = ৮ × ৬ = ৪৮ বর্গ সেমি। Option B সঠিক।,6
সমতলক্ষেত্রের ক্ষেত্রফল,69,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ১৮ সেমি এবং ১০ সেমি, এবং অসমান্তরাল বাহুগুলো ১০ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",112,120,128,136,  A,উচ্চতা = √(১০² − ((১৮ − ১০)/২)²) = √(১০০ − ১৬) = ৮ সেমি। ক্ষেত্রফল = ১/২ × (১৮ + ১০) × ৮ = ১১২ বর্গ সেমি। Option A সঠিক।,7
সমতলক্ষেত্রের ক্ষেত্রফল,70,একটি সমকোণী ত্রিভুজের অতিভুজ ২৫ সেমি এবং একটি বাহু ৭ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,84,88,92,96,  A,অন্য বাহু = √(২৫² − ৭²) = √(৬২৫ − ৪৯) = √৫৭৬ = ২৪ সেমি। ক্ষেত্রফল = ১/২ × ৭ × ২৪ = ৮৪ বর্গ সেমি। Option A সঠিক।,7
সমতলক্ষেত্রের ক্ষেত্রফল,71,"একটি ত্রিভুজের শীর্ষবিন্দুগুলো (০,০), (৫,০), এবং (০,১২)। এর ক্ষেত্রফল কত বর্গ একক?",25,30,35,40,  B,"ভূমি = ৫, উচ্চতা = ১২। ক্ষেত্রফল = ১/২ × ৫ × ১২ = ৩০ বর্গ একক। Option B সঠিক।",7
সমতলক্ষেত্রের ক্ষেত্রফল,72,একটি বৃত্তের অংশের কোণ ১৮০° এবং ব্যাসার্ধ ১৪ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি? (π = ২২/৭),304,308,312,316,  B,ক্ষেত্রফল = (১৮০/৩৬০) × (২২/৭) × ১৪² = ১/২ × ২২/৭ × ১৯৬ = ৩০৮ বর্গ সেমি। Option B সঠিক।,8
সমতলক্ষেত্রের ক্ষেত্রফল,73,একটি সমকোণী ত্রিভুজের সমকোণ সংলগ্ন বাহুগুলো ১০ সেমি এবং ২৪ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,110,120,130,140,  B,ক্ষেত্রফল = ১/২ × ১০ × ২৪ = ১২০ বর্গ সেমি। Option B সঠিক।,8
সমতলক্ষেত্রের ক্ষেত্রফল,74,"একটি ত্রিভুজের শীর্ষবিন্দুগুলো (১,১), (৬,৪), এবং (৪,৬)। এর ক্ষেত্রফল কত বর্গ একক?",13,14,15,16,  B,ক্ষেত্রফল = ১/২ × |১(৪ − ৬) + ৬(৬ − ১) + ৪(১ − ৪)| = ১/২ × |−২ + ৩০ − ১২| = ১/২ × ২৮ = ১৪ বর্গ একক। Option B সঠিক।,8
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,75,একটি সমকোণী ত্রিভুজের সমকোণ সংলগ্ন বাহুগুলো ৬ সেমি এবং ৮ সেমি। পিথাগোরাসের উপপাদ্য ব্যবহার করে এর ক্ষেত্রফল কত বর্গ সেমি?,20,24,28,32,  B,ক্ষেত্রফল = ১/২ × ভূমি × উচ্চতা = ১/২ × ৬ × ৮ = ২৪ বর্গ সেমি। Option B সঠিক।,1
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,76,একটি সমান্তরাল বাহু চতুর্ভুজের ভূমি ১০ সেমি এবং উচ্চতা ৫ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,40,50,60,70,  B,ক্ষেত্রফল = ভূমি × উচ্চতা = ১০ × ৫ = ৫০ বর্গ সেমি। Option B সঠিক।,1
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,77,দুটি সদৃশ ত্রিভুজের বাহুগুলোর অনুপাত ২:৩। তাদের ক্ষেত্রফলের অনুপাত কত?,2:03,3:02,4:09,9:04,  C,সদৃশ ত্রিভুজের ক্ষেত্রফলের অনুপাত = বাহুগুলোর অনুপাতের বর্গ = (২/৩)² = ৪:৯। Option C সঠিক।,1
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,78,একটি ত্রিভুজের ভূমি ১২ সেমি এবং উচ্চতা ৪ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,20,24,28,32,  B,ক্ষেত্রফল = ১/২ × ভূমি × উচ্চতা = ১/২ × ১২ × ৪ = ২৪ বর্গ সেমি। Option B সঠিক।,1
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,79,"একটি সমকোণী ত্রিভুজের বাহুগুলো ৩ সেমি, ৪ সেমি, এবং ৫ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",6,8,10,12,  A,এটি একটি সমকোণী ত্রিভুজ (৩² + ৪² = ৫²)। ক্ষেত্রফল = ১/২ × ৩ × ৪ = ৬ বর্গ সেমি। Option A সঠিক।,1
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,80,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ১০ সেমি এবং ৬ সেমি, এবং উচ্চতা ৪ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",28,32,36,40,  B,ক্ষেত্রফল = ১/২ × (সমান্তরাল বাহুগুলোর যোগফল) × উচ্চতা = ১/২ × (১০ + ৬) × ৪ = ৩২ বর্গ সেমি। Option B সঠিক।,2
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,81,দুটি সদৃশ ত্রিভুজের ক্ষেত্রফল ২৫ বর্গ সেমি এবং ৩৬ বর্গ সেমি। তাদের বাহুগুলোর অনুপাত কত?,5:06,6:05,25:36:00,36:25:00,  A,বাহুগুলোর অনুপাত = √(ক্ষেত্রফলের অনুপাত) = √(২৫/৩৬) = ৫/৬। Option A সঠিক।,2
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,82,একটি সমকোণী ত্রিভুজের সমকোণ সংলগ্ন বাহুগুলো ৫ সেমি এবং ১২ সেমি। পিথাগোরাসের উপপাদ্য ব্যবহার করে এর ক্ষেত্রফল কত বর্গ সেমি?,25,30,35,40,  B,ক্ষেত্রফল = ১/২ × ৫ × ১২ = ৩০ বর্গ সেমি। Option B সঠিক।,2
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,83,একটি সমান্তরাল বাহু চতুর্ভুজের ক্ষেত্রফল ৬০ বর্গ সেমি এবং ভূমি ১২ সেমি। উচ্চতা কত সেমি?,4,5,6,7,  B,"ক্ষেত্রফল = ভূমি × উচ্চতা। তাই, ৬০ = ১২ × উচ্চতা ⇒ উচ্চতা = ৬০/১২ = ৫ সেমি। Option B সঠিক।",2
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,84,"একটি সমকোণী ত্রিভুজের বাহুগুলো ৮ সেমি, ১৫ সেমি, এবং ১৭ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",50,60,70,80,  B,এটি একটি সমকোণী ত্রিভুজ (৮² + ১৫² = ১৭²)। ক্ষেত্রফল = ১/২ × ৮ × ১৫ = ৬০ বর্গ সেমি। Option B সঠিক।,2
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,85,একটি ত্রিভুজের ক্ষেত্রফল ৩০ বর্গ সেমি এবং ভূমি ১০ সেমি। উচ্চতা কত সেমি?,4,5,6,7,  C,"ক্ষেত্রফল = ১/২ × ভূমি × উচ্চতা। তাই, ৩০ = ১/২ × ১০ × উচ্চতা ⇒ উচ্চতা = (৩০ × ২) / ১০ = ৬ সেমি। Option C সঠিক।",3
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,86,"দুটি সদৃশ ত্রিভুজের বাহুগুলোর অনুপাত ৩:৫। যদি ছোট ত্রিভুজের ক্ষেত্রফল ২৭ বর্গ সেমি হয়, তবে বড় ত্রিভুজের ক্ষেত্রফল কত বর্গ সেমি?",75,80,85,90,  A,ক্ষেত্রফলের অনুপাত = (৩/৫)² = ৯/২৫। বড় ত্রিভুজের ক্ষেত্রফল = ২৭ × (২৫/৯) = ৭৫ বর্গ সেমি। Option A সঠিক।,3
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,87,একটি সমকোণী ত্রিভুজের অতিভুজ ১৩ সেমি এবং একটি বাহু ৫ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,25,30,35,40,  B,অন্য বাহু = √(১৩² − ৫²) = √(১৬৯ − ২৫) = ১২ সেমি। ক্ষেত্রফল = ১/২ × ৫ × ১২ = ৩০ বর্গ সেমি। Option B সঠিক।,3
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,88,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ১২ সেমি এবং ৮ সেমি, এবং উচ্চতা ৫ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",45,50,55,60,  B,ক্ষেত্রফল = ১/২ × (১২ + ৮) × ৫ = ১/২ × ২০ × ৫ = ৫০ বর্গ সেমি। Option B সঠিক।,3
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,89,একটি সমকোণী ত্রিভুজের সমকোণ সংলগ্ন বাহুগুলো ৭ সেমি এবং ২৪ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,84,88,92,96,  A,ক্ষেত্রফল = ১/২ × ৭ × ২৪ = ৮৪ বর্গ সেমি। Option A সঠিক।,3
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,90,একটি বৃত্তের অংশের কোণ ৯০° এবং ব্যাসার্ধ ৭ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি? (π = ২২/৭),37.25,38.5,39.75,40.25,  B,ক্ষেত্রফল = (৯০/৩৬০) × (২২/৭) × ৭² = ১/৪ × ২২/৭ × ৪৯ = ১৫৪/৪ = ৩৮.৫০ বর্গ সেমি। Option B সঠিক।,4
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,91,দুটি সদৃশ ত্রিভুজের ক্ষেত্রফল ১৬ বর্গ সেমি এবং ৪৯ বর্গ সেমি। তাদের বাহুগুলোর অনুপাত কত?,4:07,7:04,16:49,49:16:00,  A,বাহুগুলোর অনুপাত = √(১৬/৪৯) = ৪/৭। Option A সঠিক।,4
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,92,একটি সমকোণী ত্রিভুজের অতিভুজ ১৭ সেমি এবং একটি বাহু ৮ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,50,60,70,80,  B,অন্য বাহু = √(১৭² − ৮²) = √(২৮৯ − ৬৪) = ১৫ সেমি। ক্ষেত্রফল = ১/২ × ৮ × ১৫ = ৬০ বর্গ সেমি। Option B সঠিক।,4
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,93,"একটি ত্রিভুজের শীর্ষবিন্দুগুলো (০,০), (৪,০), এবং (০,৩)। এর ক্ষেত্রফল কত বর্গ একক?",6,8,10,12,  A,"ভূমি = ৪, উচ্চতা = ৩। ক্ষেত্রফল = ১/২ × ৪ × ৩ = ৬ বর্গ একক। Option A সঠিক।",4
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,94,"একটি সমান্তরাল বাহু চতুর্ভুজের দুটি সন্নিহিত বাহু ৬ সেমি এবং ৮ সেমি, এবং তাদের মধ্যবর্তী কোণ ৯০°। এর ক্ষেত্রফল কত বর্গ সেমি?",40,44,48,52,  C,ক্ষেত্রফল = বাহু × বাহু × sin(কোণ) = ৬ × ৮ × sin(৯০°) = ৪৮ বর্গ সেমি। Option C সঠিক।,4
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,95,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ১৫ সেমি এবং ৯ সেমি, এবং উচ্চতা ৬ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",72,76,80,84,  A,ক্ষেত্রফল = ১/২ × (১৫ + ৯) × ৬ = ১/২ × ২৪ × ৬ = ৭২ বর্গ সেমি। Option A সঠিক।,5
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,96,"দুটি সদৃশ ত্রিভুজের বাহুগুলোর অনুপাত ৪:৭। যদি বড় ত্রিভুজের ক্ষেত্রফল ৪৯ বর্গ সেমি হয়, তবে ছোট ত্রিভুজের ক্ষেত্রফল কত বর্গ সেমি?",14,16,18,20,  B,ক্ষেত্রফলের অনুপাত = (৪/৭)² = ১৬/৪৯। ছোট ত্রিভুজের ক্ষেত্রফল = ৪৯ × (১৬/৪৯) = ১৬ বর্গ সেমি। Option B সঠিক।,5
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,97,একটি সমকোণী ত্রিভুজের সমকোণ সংলগ্ন বাহুগুলো ৯ সেমি এবং ১২ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,50,54,58,62,  B,ক্ষেত্রফল = ১/২ × ৯ × ১২ = ৫৪ বর্গ সেমি। Option B সঠিক।,5
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,98,"একটি ত্রিভুজের শীর্ষবিন্দুগুলো (১,১), (৫,১), এবং (৫,৪)। এর ক্ষেত্রফল কত বর্গ একক?",6,8,10,12,  A,"ভূমি = ৫ − ১ = ৪, উচ্চতা = ৪ − ১ = ৩। ক্ষেত্রফল = ১/২ × ৪ × ৩ = ৬ বর্গ একক। Option A সঠিক।",5
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,99,একটি নিয়মিত ষড়ভুজের বাহুর দৈর্ঘ্য ৪ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,40,41.57,42,43.12,  B,ক্ষেত্রফল = (৩√৩/২) × ৪² = ২.৫৯৮ × ১৬ ≈ ৪১.৫৭ বর্গ সেমি। Option B সঠিক।,5
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,100,একটি বৃত্তের অংশের কোণ ১২০° এবং ব্যাসার্ধ ১৪ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি? (π = ২২/৭),204.67,205.33,206.67,207.33,  B,ক্ষেত্রফল = (১২০/৩৬০) × (২২/৭) × ১৪² = ১/৩ × ২২/৭ × ১৯৬ = ৬১৬/৩ ≈ ২০৫.৩৩ বর্গ সেমি। Option B সঠিক।,6
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,101,দুটি সদৃশ ত্রিভুজের ক্ষেত্রফল ৩৬ বর্গ সেমি এবং ৬৪ বর্গ সেমি। তাদের বাহুগুলোর অনুপাত কত?,3:04,4:03,36:64,64:36:00,  A,বাহুগুলোর অনুপাত = √(৩৬/৬৪) = ৬/৮ = ৩/৪। Option A সঠিক।,6
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,102,একটি সমকোণী ত্রিভুজের অতিভুজ ২৫ সেমি এবং একটি বাহু ৭ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,84,88,92,96,  A,অন্য বাহু = √(২৫² − ৭²) = √(৬২৫ − ৪৯) = ২৪ সেমি। ক্ষেত্রফল = ১/২ × ৭ × ২৪ = ৮৪ বর্গ সেমি। Option A সঠিক।,6
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,103,"একটি ত্রিভুজের শীর্ষবিন্দুগুলো (০,০), (৬,০), এবং (৩,৪)। এর ক্ষেত্রফল কত বর্গ একক?",10,12,14,16,  B,ক্ষেত্রফল = ১/২ × |০(০ − ৪) + ৬(৪ − ০) + ৩(০ − ০)| = ১/২ × |২৪| = ১২ বর্গ একক। Option B সঠিক।,6
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,104,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ১৮ সেমি এবং ১০ সেমি, এবং অসমান্তরাল বাহুগুলো ১০ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",112,120,128,136,  A,উচ্চতা = √(১০² − ((১৮ − ১০)/২)²) = √(১০০ − ১৬) = ৮ সেমি। ক্ষেত্রফল = ১/২ × (১৮ + ১০) × ৮ = ১১২ বর্গ সেমি। Option A সঠিক।,6
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,105,একটি বৃত্তের অংশের কোণ ১৮০° এবং ব্যাসার্ধ ১০ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি? (π = ৩.১৪),154,157,160,163,  B,ক্ষেত্রফল = (১৮০/৩৬০) × ৩.১৪ × ১০² = ১/২ × ৩.১৪ × ১০০ = ১৫৭ বর্গ সেমি। Option B সঠিক।,7
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,106,"দুটি সদৃশ ত্রিভুজের বাহুগুলোর অনুপাত ২:৫। যদি ছোট ত্রিভুজের ক্ষেত্রফল ২০ বর্গ সেমি হয়, তবে বড় ত্রিভুজের ক্ষেত্রফল কত বর্গ সেমি?",120,125,130,135,  B,ক্ষেত্রফলের অনুপাত = (২/৫)² = ৪/২৫। বড় ত্রিভুজের ক্ষেত্রফল = ২০ × (২৫/৪) = ১২৫ বর্গ সেমি। Option B সঠিক।,7
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,107,একটি সমকোণী ত্রিভুজের সমকোণ সংলগ্ন বাহুগুলো ১০ সেমি এবং ২৪ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,110,120,130,140,  B,ক্ষেত্রফল = ১/২ × ১০ × ২৪ = ১২০ বর্গ সেমি। Option B সঠিক।,7
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,108,"একটি ত্রিভুজের শীর্ষবিন্দুগুলো (২,১), (৬,৫), এবং (৮,২)। এর ক্ষেত্রফল কত বর্গ একক?",16,18,20,22,  C,ক্ষেত্রফল = ১/২ × |২(৫ − ২) + ৬(২ − ১) + ৮(১ − ৫)| = ১/২ × |৬ + ৬ − ৩২| = ১/২ × ৪০ = ২০ বর্গ একক। Option C সঠিক।,7
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,109,একটি নিয়মিত অষ্টভুজের বাহুর দৈর্ঘ্য ৬ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি? (প্রায় মান),172.94,173.82,174.7,175.58,  B,ক্ষেত্রফল = ২(১ + √২) × ৬² ≈ ৪.৮২৮ × ৩৬ ≈ ১৭৩.৮২ বর্গ সেমি। Option B সঠিক।,7
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,110,একটি বৃত্তের অংশের কোণ ২৪০° এবং ব্যাসার্ধ ১২ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি? (π = ৩.১৪),301.44,302.88,304.32,305.76,  A,ক্ষেত্রফল = (২৪০/৩৬০) × ৩.১৪ × ১২² = ২/৩ × ৩.১৪ × ১৪৪ = ৩০১.৪৪ বর্গ সেমি। Option A সঠিক।,8
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,111,দুটি সদৃশ ত্রিভুজের ক্ষেত্রফল ২৫ বর্গ সেমি এবং ৮১ বর্গ সেমি। তাদের বাহুগুলোর অনুপাত কত?,5:09,9:05,25:81,81:25:00,  A,বাহুগুলোর অনুপাত = √(২৫/৮১) = ৫/৯। Option A সঠিক।,8
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,112,একটি সমকোণী ত্রিভুজের অতিভুজ ২৯ সেমি এবং একটি বাহু ২০ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,180,190,200,210,  A,অন্য বাহু = √(২৯² − ২০²) = √(৮৪১ − ৪০০) = ২১ সেমি। ক্ষেত্রফল = ১/২ × ২০ × ২১ = ২১০/২ = ১৮০ বর্গ সেমি। Option A সঠিক।,8
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,113,"একটি ত্রিভুজের শীর্ষবিন্দুগুলো (০,০), (৪,৩), এবং (৬,১)। এর ক্ষেত্রফল কত বর্গ একক?",7,8,9,10,  A,ক্ষেত্রফল = ১/২ × |০(৩ − ১) + ৪(১ − ০) + ৬(০ − ৩)| = ১/২ × |৪ − ১৮| = ১/২ × ১৪ = ৭ বর্গ একক। Option A সঠিক।,8
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,114,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ২০ সেমি এবং ১২ সেমি, এবং অসমান্তরাল বাহুগুলো ১৫ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",231.36,232.36,233.36,234.36,  A,উচ্চতা = √(১৫² − ((২০ − ১২)/২)²) = √(২২৫ − ১৬) = √২০৯ ≈ ১৪.৪৬ সেমি। ক্ষেত্রফল ≈ ১/২ × (২০ + ১২) × ১৪.৪৬ ≈ ২৩১.৩৬ বর্গ সেমি। Option A সঠিক।,8
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,115,একটি বৃত্তের অংশের কোণ ২৭০° এবং ব্যাসার্ধ ৮ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি? (π = ৩.১৪),150.72,151.84,152.96,154.08,  A,ক্ষেত্রফল = (২৭০/৩৬০) × ৩.১৪ × ৮² = ৩/৪ × ৩.১৪ × ৬৪ = ১৫০.৭২ বর্গ সেমি। Option A সঠিক।,9
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,116,"দুটি সদৃশ ত্রিভুজের বাহুগুলোর অনুপাত ১:৩। যদি ছোট ত্রিভুজের ক্ষেত্রফল ১২ বর্গ সেমি হয়, তবে বড় ত্রিভুজের ক্ষেত্রফল কত বর্গ সেমি?",108,110,112,114,  A,ক্ষেত্রফলের অনুপাত = (১/৩)² = ১/৯। বড় ত্রিভুজের ক্ষেত্রফল = ১২ × ৯ = ১০৮ বর্গ সেমি। Option A সঠিক।,9
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,117,একটি সমকোণী ত্রিভুজের সমকোণ সংলগ্ন বাহুগুলো ১২ সেমি এবং ৩৫ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,200,210,220,230,  B,ক্ষেত্রফল = ১/২ × ১২ × ৩৫ = ২১০ বর্গ সেমি। Option B সঠিক।,9
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,118,"একটি ত্রিভুজের শীর্ষবিন্দুগুলো (১,২), (৫,৬), এবং (৭,৩)। এর ক্ষেত্রফল কত বর্গ একক?",10,11,12,13,  A,ক্ষেত্রফল = ১/২ × |১(৬ − ৩) + ৫(৩ − ২) + ৭(২ − ৬)| = ১/২ × |৩ + ৫ − ২৮| = ১/২ × ২০ = ১০ বর্গ একক। Option A সঠিক।,9
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,119,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ২২ সেমি এবং ১৪ সেমি, এবং অসমান্তরাল বাহুগুলো ১০ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",180,184,188,192,  A,উচ্চতা = √(১০² − ((২২ − ১৪)/২)²) = √(১০০ − ১৬) = ৮ সেমি। ক্ষেত্রফল = ১/২ × (২২ + ১৪) × ৮ = ১৮০ বর্গ সেমি। Option A সঠিক।,9
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,120,একটি বৃত্তের অংশের কোণ ৩০০° এবং ব্যাসার্ধ ১৫ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি? (π = ৩.১৪),588.75,589.25,590.75,591.25,  A,ক্ষেত্রফল = (৩০০/৩৬০) × ৩.১৪ × ১৫² = ৫/৬ × ৩.১৪ × ২২৫ = ৫৮৮.৭৫ বর্গ সেমি। Option A সঠিক।,10
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,121,"দুটি সদৃশ ত্রিভুজের বাহুগুলোর অনুপাত ১:৪। যদি বড় ত্রিভুজের ক্ষেত্রফল ১২৮ বর্গ সেমি হয়, তবে ছোট ত্রিভুজের ক্ষেত্রফল কত বর্গ সেমি?",6,8,10,12,  B,ক্ষেত্রফলের অনুপাত = (১/৪)² = ১/১৬। ছোট ত্রিভুজের ক্ষেত্রফল = ১২৮ × (১/১৬) = ৮ বর্গ সেমি। Option B সঠিক।,10
ক্ষেত্রফল সম্পর্কিত উপপাদ্য,122,একটি সমকোণী ত্রিভুজের অতিভুজ ৩৭ সেমি এবং একটি বাহু ১২ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,210,220,230,240,  A,অন্য বাহু = √(৩৭² − ১২²) = √(১৩৬৯ − ১৪৪) = √১২২৫ = ৩৫ সেমি। ক্ষেত্রফল = ১/২ × ১২ × ৩৫ = ৪২০/২ = ২১০ বর্গ সেমি। Option A সঠিক।,10
